ONTOLOGY,ID,pathway,Biodomain
BP,GO:0042770,signal transduction in response to DNA damage,DNA Repair
MF,GO:0008307,structural constituent of muscle,none
MF,GO:0019205,nucleobase-containing compound kinase activity,none
BP,GO:1905276,regulation of epithelial tube formation,none
BP,GO:0006921,cellular component disassembly involved in execution phase of apoptosis,Apoptosis
BP,GO:0046513,ceramide biosynthetic process,Lipid Metabolism
BP,GO:0030513,positive regulation of BMP signaling pathway,none
BP,GO:0032688,negative regulation of interferon-beta production,none
BP,GO:0060295,regulation of cilium movement involved in cell motility,none
BP,GO:1902019,regulation of cilium-dependent cell motility,none
BP,GO:1903427,negative regulation of reactive oxygen species biosynthetic process,Oxidative Stress
BP,GO:0002407,dendritic cell chemotaxis,Immune Response
BP,GO:0070242,thymocyte apoptotic process,none
BP,GO:0071391,cellular response to estrogen stimulus,none
BP,GO:2000765,regulation of cytoplasmic translation,Proteostasis
BP,GO:0002320,lymphoid progenitor cell differentiation,Immune Response
BP,GO:0050830,defense response to Gram-positive bacterium,Immune Response
CC,GO:0005581,collagen trimer,none
BP,GO:0018027,peptidyl-lysine dimethylation,none
CC,GO:0031526,brush border membrane,none
BP,GO:0046627,negative regulation of insulin receptor signaling pathway,none
BP,GO:0051220,cytoplasmic sequestering of protein,none
BP,GO:0008655,pyrimidine-containing compound salvage,Cell Cycle
BP,GO:0043097,pyrimidine nucleoside salvage,Cell Cycle
MF,GO:0019825,oxygen binding,none
CC,GO:0031010,ISWI-type complex,none
CC,GO:0042588,zymogen granule,none
BP,GO:0050919,negative chemotaxis,none
BP,GO:0061053,somite development,none
BP,GO:0070884,regulation of calcineurin-NFAT signaling cascade,none
BP,GO:1903978,regulation of microglial cell activation,Immune Response
BP,GO:0002070,epithelial cell maturation,none
CC,GO:0005777,peroxisome,none
MF,GO:0009881,photoreceptor activity,none
MF,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",none
CC,GO:0030877,beta-catenin destruction complex,none
CC,GO:0035253,ciliary rootlet,none
BP,GO:0035845,photoreceptor cell outer segment organization,none
CC,GO:0042579,microbody,none
BP,GO:0072170,metanephric tubule development,none
MF,GO:0043028,cysteine-type endopeptidase regulator activity involved in apoptotic process,Apoptosis
BP,GO:0000338,protein deneddylation,none
MF,GO:0004675,transmembrane receptor protein serine/threonine kinase activity,none
BP,GO:0033148,positive regulation of intracellular estrogen receptor signaling pathway,none
BP,GO:0045898,regulation of RNA polymerase II transcription preinitiation complex assembly,none
BP,GO:1905214,regulation of RNA binding,none
BP,GO:1903671,negative regulation of sprouting angiogenesis,Vasculature
BP,GO:0032305,positive regulation of icosanoid secretion,Lipid Metabolism
BP,GO:1903170,negative regulation of calcium ion transmembrane transport,none
BP,GO:1904816,"positive regulation of protein localization to chromosome, telomeric region",none
BP,GO:0016573,histone acetylation,Epigenetic
BP,GO:0021983,pituitary gland development,none
MF,GO:0004197,cysteine-type endopeptidase activity,Proteostasis
BP,GO:0030433,ubiquitin-dependent ERAD pathway,Proteostasis
MF,GO:0045505,dynein intermediate chain binding,none
MF,GO:0043022,ribosome binding,Proteostasis
MF,GO:0001965,G-protein alpha-subunit binding,none
BP,GO:0009187,cyclic nucleotide metabolic process,none
BP,GO:0051451,myoblast migration,none
BP,GO:0051457,maintenance of protein location in nucleus,none
BP,GO:0000469,cleavage involved in rRNA processing,Proteostasis
BP,GO:0051084,de novo' posttranslational protein folding,Proteostasis
CC,GO:0031941,filamentous actin,Structural Stabilization
BP,GO:0009948,anterior/posterior axis specification,none
MF,GO:0048185,activin binding,none
BP,GO:0070296,sarcoplasmic reticulum calcium ion transport,none
BP,GO:0046607,positive regulation of centrosome cycle,Cell Cycle
BP,GO:0000272,polysaccharide catabolic process,none
MF,GO:0008378,galactosyltransferase activity,none
BP,GO:0043501,skeletal muscle adaptation,none
BP,GO:0045724,positive regulation of cilium assembly,none
BP,GO:0014041,regulation of neuron maturation,Synapse
BP,GO:0001945,lymph vessel development,Vasculature
MF,GO:0004679,AMP-activated protein kinase activity,none
BP,GO:0007512,adult heart development,none
MF,GO:0015932,nucleobase-containing compound transmembrane transporter activity,none
BP,GO:0017085,response to insecticide,none
MF,GO:0042301,phosphate ion binding,none
CC,GO:0005869,dynactin complex,Structural Stabilization
BP,GO:0006672,ceramide metabolic process,Lipid Metabolism
MF,GO:0008198,ferrous iron binding,Metal Binding and Homeostasis
MF,GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity,none
BP,GO:0034367,protein-containing complex remodeling,none
BP,GO:0040019,positive regulation of embryonic development,none
CC,GO:0043240,Fanconi anaemia nuclear complex,none
BP,GO:0045779,negative regulation of bone resorption,none
MF,GO:0034450,ubiquitin-ubiquitin ligase activity,Proteostasis
BP,GO:1903319,positive regulation of protein maturation,Proteostasis
BP,GO:0045026,plasma membrane fusion,none
BP,GO:0019228,neuronal action potential,Synapse
BP,GO:2000516,"positive regulation of CD4-positive, alpha-beta T cell activation",Immune Response
CC,GO:0000779,"condensed chromosome, centromeric region",none
BP,GO:1904886,beta-catenin destruction complex disassembly,none
CC,GO:0008540,"proteasome regulatory particle, base subcomplex",Proteostasis
BP,GO:0006221,pyrimidine nucleotide biosynthetic process,Cell Cycle
BP,GO:0009415,response to water,none
BP,GO:1901660,calcium ion export,none
BP,GO:0030262,apoptotic nuclear changes,Apoptosis
MF,GO:0003950,NAD+ ADP-ribosyltransferase activity,none
BP,GO:0062208,positive regulation of pattern recognition receptor signaling pathway,none
BP,GO:0006586,indolalkylamine metabolic process,none
MF,GO:0008528,G protein-coupled peptide receptor activity,none
BP,GO:0021702,cerebellar Purkinje cell differentiation,none
BP,GO:2001279,regulation of unsaturated fatty acid biosynthetic process,none
BP,GO:0034035,purine ribonucleoside bisphosphate metabolic process,Cell Cycle
BP,GO:0002821,positive regulation of adaptive immune response,Immune Response
BP,GO:0007131,reciprocal meiotic recombination,none
BP,GO:0050427,3'-phosphoadenosine 5'-phosphosulfate metabolic process,none
BP,GO:0006304,DNA modification,Epigenetic
BP,GO:0003156,regulation of animal organ formation,none
BP,GO:0014831,gastro-intestinal system smooth muscle contraction,none
BP,GO:0060444,branching involved in mammary gland duct morphogenesis,none
MF,GO:0043138,3'-5' DNA helicase activity,Cell Cycle
BP,GO:0033622,integrin activation,none
BP,GO:0043568,positive regulation of insulin-like growth factor receptor signaling pathway,none
BP,GO:0033700,phospholipid efflux,Lipid Metabolism
BP,GO:0034368,protein-lipid complex remodeling,Lipid Metabolism
BP,GO:0034369,plasma lipoprotein particle remodeling,Lipid Metabolism
BP,GO:0031664,regulation of lipopolysaccharide-mediated signaling pathway,none
MF,GO:0032404,mismatch repair complex binding,DNA Repair
BP,GO:0060761,negative regulation of response to cytokine stimulus,Immune Response
MF,GO:0004707,MAP kinase activity,none
BP,GO:0009086,methionine biosynthetic process,none
BP,GO:0042558,pteridine-containing compound metabolic process,none
BP,GO:0060831,smoothened signaling pathway involved in dorsal/ventral neural tube patterning,none
BP,GO:0051573,negative regulation of histone H3-K9 methylation,Epigenetic
BP,GO:1900112,regulation of histone H3-K9 trimethylation,Epigenetic
MF,GO:0001162,RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding,none
CC,GO:0005849,mRNA cleavage factor complex,none
MF,GO:0015562,efflux transmembrane transporter activity,none
MF,GO:0016229,steroid dehydrogenase activity,none
MF,GO:0035250,UDP-galactosyltransferase activity,none
CC,GO:0031462,Cul2-RING ubiquitin ligase complex,Proteostasis
CC,GO:0005687,U4 snRNP,none
MF,GO:0070491,repressing transcription factor binding,none
BP,GO:0071450,cellular response to oxygen radical,none
BP,GO:0071451,cellular response to superoxide,Oxidative Stress
BP,GO:0045792,negative regulation of cell size,none
CC,GO:0072686,mitotic spindle,Cell Cycle
BP,GO:0090713,immunological memory process,Immune Response
BP,GO:0009124,nucleoside monophosphate biosynthetic process,none
BP,GO:0045475,locomotor rhythm,none
BP,GO:0060749,mammary gland alveolus development,none
BP,GO:0061377,mammary gland lobule development,none
BP,GO:0071360,cellular response to exogenous dsRNA,none
BP,GO:0010574,regulation of vascular endothelial growth factor production,Vasculature
BP,GO:1903799,negative regulation of production of miRNAs involved in gene silencing by miRNA,Epigenetic
MF,GO:0005344,oxygen carrier activity,none
BP,GO:0060397,growth hormone receptor signaling pathway via JAK-STAT,none
BP,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,Structural Stabilization
BP,GO:0044804,autophagy of nucleus,Autophagy
MF,GO:0008146,sulfotransferase activity,none
BP,GO:0072710,response to hydroxyurea,none
BP,GO:0048194,Golgi vesicle budding,Proteostasis
BP,GO:0000018,regulation of DNA recombination,Cell Cycle
MF,GO:0016407,acetyltransferase activity,none
MF,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",none
BP,GO:0046831,regulation of RNA export from nucleus,none
BP,GO:0060576,intestinal epithelial cell development,none
MF,GO:0070412,R-SMAD binding,none
BP,GO:0010954,positive regulation of protein processing,Proteostasis
BP,GO:0008209,androgen metabolic process,Lipid Metabolism
BP,GO:0007220,Notch receptor processing,none
MF,GO:0016289,CoA hydrolase activity,none
BP,GO:0080009,mRNA methylation,none
BP,GO:0002292,T cell differentiation involved in immune response,Immune Response
CC,GO:0034518,RNA cap binding complex,none
MF,GO:0043621,protein self-association,none
BP,GO:0021892,cerebral cortex GABAergic interneuron differentiation,Synapse
BP,GO:0042769,"DNA damage response, detection of DNA damage",DNA Repair
BP,GO:0019730,antimicrobial humoral response,Immune Response
MF,GO:0008097,5S rRNA binding,none
BP,GO:0034637,cellular carbohydrate biosynthetic process,none
MF,GO:0005031,tumor necrosis factor-activated receptor activity,Immune Response
BP,GO:0016553,base conversion or substitution editing,none
BP,GO:0006367,transcription initiation from RNA polymerase II promoter,none
MF,GO:0015106,bicarbonate transmembrane transporter activity,none
BP,GO:0060716,labyrinthine layer blood vessel development,Vasculature
BP,GO:0046135,pyrimidine nucleoside catabolic process,Cell Cycle
BP,GO:0002825,regulation of T-helper 1 type immune response,Immune Response
BP,GO:0006360,transcription by RNA polymerase I,none
BP,GO:0048308,organelle inheritance,none
BP,GO:0048313,Golgi inheritance,Proteostasis
MF,GO:0005125,cytokine activity,Immune Response
BP,GO:1903902,positive regulation of viral life cycle,Cell Cycle
BP,GO:0046006,regulation of activated T cell proliferation,Immune Response
MF,GO:0001972,retinoic acid binding,Lipid Metabolism
MF,GO:0008376,acetylgalactosaminyltransferase activity,none
BP,GO:0009083,branched-chain amino acid catabolic process,none
CC,GO:0033646,host intracellular part,none
CC,GO:0043656,host intracellular region,none
BP,GO:0060445,branching involved in salivary gland morphogenesis,none
BP,GO:1990173,protein localization to nucleoplasm,none
CC,GO:0000153,cytoplasmic ubiquitin ligase complex,Proteostasis
BP,GO:0006983,ER overload response,Proteostasis
BP,GO:0001963,"synaptic transmission, dopaminergic",Synapse
BP,GO:0010842,retina layer formation,none
BP,GO:0031125,rRNA 3'-end processing,Proteostasis
BP,GO:0046825,regulation of protein export from nucleus,none
BP,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,Immune Response
BP,GO:0006536,glutamate metabolic process,none
BP,GO:0090177,establishment of planar polarity involved in neural tube closure,none
MF,GO:1901682,sulfur compound transmembrane transporter activity,none
BP,GO:0006515,protein quality control for misfolded or incompletely synthesized proteins,Proteostasis
BP,GO:0150011,regulation of neuron projection arborization,Synapse
BP,GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,Endolysosome
CC,GO:0005778,peroxisomal membrane,none
BP,GO:0006555,methionine metabolic process,none
MF,GO:0008242,omega peptidase activity,none
CC,GO:0031903,microbody membrane,none
BP,GO:0071392,cellular response to estradiol stimulus,none
BP,GO:0071526,semaphorin-plexin signaling pathway,none
MF,GO:0030021,extracellular matrix structural constituent conferring compression resistance,Structural Stabilization
BP,GO:0002763,positive regulation of myeloid leukocyte differentiation,Immune Response
BP,GO:0042438,melanin biosynthetic process,none
MF,GO:0046965,retinoid X receptor binding,none
BP,GO:0060088,auditory receptor cell stereocilium organization,none
MF,GO:0042577,lipid phosphatase activity,Lipid Metabolism
BP,GO:0014808,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,none
BP,GO:0052803,imidazole-containing compound metabolic process,none
BP,GO:0071108,protein K48-linked deubiquitination,Proteostasis
BP,GO:1903514,release of sequestered calcium ion into cytosol by endoplasmic reticulum,Proteostasis
BP,GO:0043247,telomere maintenance in response to DNA damage,DNA Repair
BP,GO:0033127,regulation of histone phosphorylation,Epigenetic
MF,GO:0015095,magnesium ion transmembrane transporter activity,none
BP,GO:0097150,neuronal stem cell population maintenance,none
BP,GO:1903830,magnesium ion transmembrane transport,none
BP,GO:0060315,negative regulation of ryanodine-sensitive calcium-release channel activity,Synapse
BP,GO:0005984,disaccharide metabolic process,none
BP,GO:0009084,glutamine family amino acid biosynthetic process,none
CC,GO:0042405,nuclear inclusion body,none
BP,GO:1901068,guanosine-containing compound metabolic process,none
MF,GO:0016741,"transferase activity, transferring one-carbon groups",none
MF,GO:0019957,C-C chemokine binding,none
BP,GO:1903018,regulation of glycoprotein metabolic process,none
MF,GO:0044390,ubiquitin-like protein conjugating enzyme binding,Proteostasis
MF,GO:0016505,peptidase activator activity involved in apoptotic process,Apoptosis
BP,GO:0006359,regulation of transcription by RNA polymerase III,none
BP,GO:0001756,somitogenesis,none
BP,GO:0031000,response to caffeine,none
BP,GO:0071514,genetic imprinting,none
BP,GO:0090069,regulation of ribosome biogenesis,Proteostasis
MF,GO:0008331,high voltage-gated calcium channel activity,Synapse
BP,GO:0035751,regulation of lysosomal lumen pH,Endolysosome
BP,GO:0042754,negative regulation of circadian rhythm,none
BP,GO:0045342,MHC class II biosynthetic process,none
BP,GO:1990182,exosomal secretion,none
CC,GO:0005657,replication fork,none
BP,GO:0019692,deoxyribose phosphate metabolic process,none
BP,GO:0060135,maternal process involved in female pregnancy,none
BP,GO:0061099,negative regulation of protein tyrosine kinase activity,none
BP,GO:0070528,protein kinase C signaling,none
BP,GO:0072216,positive regulation of metanephros development,none
BP,GO:0017148,negative regulation of translation,Proteostasis
BP,GO:0033599,regulation of mammary gland epithelial cell proliferation,none
BP,GO:0036342,post-anal tail morphogenesis,none
BP,GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,none
BP,GO:0000028,ribosomal small subunit assembly,Proteostasis
CC,GO:0098554,cytoplasmic side of endoplasmic reticulum membrane,Proteostasis
BP,GO:0046459,short-chain fatty acid metabolic process,Lipid Metabolism
CC,GO:0000428,DNA-directed RNA polymerase complex,none
MF,GO:0004950,chemokine receptor activity,Immune Response
BP,GO:0090207,regulation of triglyceride metabolic process,Lipid Metabolism
MF,GO:0001637,G protein-coupled chemoattractant receptor activity,none
BP,GO:0016559,peroxisome fission,none
MF,GO:0017069,snRNA binding,none
MF,GO:0017134,fibroblast growth factor binding,none
BP,GO:0090178,regulation of establishment of planar polarity involved in neural tube closure,none
BP,GO:0006302,double-strand break repair,DNA Repair
MF,GO:0042162,telomeric DNA binding,DNA Repair
BP,GO:0031650,regulation of heat generation,none
BP,GO:0032350,regulation of hormone metabolic process,none
BP,GO:0070199,establishment of protein localization to chromosome,none
BP,GO:0036092,phosphatidylinositol-3-phosphate biosynthetic process,Lipid Metabolism
BP,GO:0008535,respiratory chain complex IV assembly,Mitochondrial Metabolism
BP,GO:0009071,serine family amino acid catabolic process,none
MF,GO:0030296,protein tyrosine kinase activator activity,none
BP,GO:0031272,regulation of pseudopodium assembly,none
BP,GO:0033629,negative regulation of cell adhesion mediated by integrin,Structural Stabilization
MF,GO:0015101,organic cation transmembrane transporter activity,none
CC,GO:0016010,dystrophin-associated glycoprotein complex,none
MF,GO:0016805,dipeptidase activity,none
CC,GO:0090665,glycoprotein complex,none
BP,GO:0002204,somatic recombination of immunoglobulin genes involved in immune response,Immune Response
BP,GO:0002208,somatic diversification of immunoglobulins involved in immune response,Immune Response
BP,GO:0002710,negative regulation of T cell mediated immunity,Immune Response
BP,GO:0043372,"positive regulation of CD4-positive, alpha-beta T cell differentiation",Immune Response
BP,GO:0045190,isotype switching,Immune Response
BP,GO:1990403,embryonic brain development,none
BP,GO:2000279,negative regulation of DNA biosynthetic process,Cell Cycle
BP,GO:0006044,N-acetylglucosamine metabolic process,none
MF,GO:0035613,RNA stem-loop binding,none
MF,GO:0043295,glutathione binding,none
BP,GO:0048070,regulation of developmental pigmentation,none
BP,GO:0060325,face morphogenesis,none
CC,GO:0061695,"transferase complex, transferring phosphorus-containing groups",none
BP,GO:0070278,extracellular matrix constituent secretion,Structural Stabilization
CC,GO:0000777,condensed chromosome kinetochore,none
BP,GO:0042573,retinoic acid metabolic process,Lipid Metabolism
BP,GO:0001755,neural crest cell migration,none
BP,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,Vasculature
BP,GO:1902807,negative regulation of cell cycle G1/S phase transition,Cell Cycle
CC,GO:0000164,protein phosphatase type 1 complex,none
CC,GO:0000803,sex chromosome,none
MF,GO:0008296,3'-5'-exodeoxyribonuclease activity,none
BP,GO:0045648,positive regulation of erythrocyte differentiation,none
MF,GO:0102991,myristoyl-CoA hydrolase activity,none
BP,GO:1904889,regulation of excitatory synapse assembly,Synapse
BP,GO:0010454,negative regulation of cell fate commitment,none
MF,GO:0106019,"phosphatidylinositol-4,5-bisphosphate phosphatase activity",none
MF,GO:1990404,protein ADP-ribosylase activity,none
BP,GO:0070131,positive regulation of mitochondrial translation,Mitochondrial Metabolism
BP,GO:0000722,telomere maintenance via recombination,none
BP,GO:0071467,cellular response to pH,none
BP,GO:0070131,positive regulation of mitochondrial translation,Proteostasis
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,Structural Stabilization
CC,GO:0032982,myosin filament,none
BP,GO:0072525,pyridine-containing compound biosynthetic process,none
BP,GO:2000811,negative regulation of anoikis,none
BP,GO:0042359,vitamin D metabolic process,Lipid Metabolism
BP,GO:0070129,regulation of mitochondrial translation,Mitochondrial Metabolism
MF,GO:0008227,G protein-coupled amine receptor activity,none
BP,GO:0070129,regulation of mitochondrial translation,Proteostasis
MF,GO:0005242,inward rectifier potassium channel activity,Synapse
BP,GO:0045740,positive regulation of DNA replication,Cell Cycle
BP,GO:0007032,endosome organization,Endolysosome
BP,GO:0070670,response to interleukin-4,Immune Response
MF,GO:0004693,cyclin-dependent protein serine/threonine kinase activity,none
BP,GO:0008356,asymmetric cell division,none
MF,GO:0097472,cyclin-dependent protein kinase activity,none
CC,GO:0005876,spindle microtubule,none
BP,GO:0051969,regulation of transmission of nerve impulse,none
MF,GO:0031624,ubiquitin conjugating enzyme binding,Proteostasis
BP,GO:0048199,"vesicle targeting, to, from or within Golgi",Proteostasis
BP,GO:0006323,DNA packaging,Epigenetic
BP,GO:0072348,sulfur compound transport,none
BP,GO:0008206,bile acid metabolic process,Lipid Metabolism
BP,GO:0009247,glycolipid biosynthetic process,Lipid Metabolism
BP,GO:0014075,response to amine,none
BP,GO:0071281,cellular response to iron ion,Metal Binding and Homeostasis
CC,GO:0005833,hemoglobin complex,none
BP,GO:0016973,poly(A)+ mRNA export from nucleus,none
MF,GO:0070696,transmembrane receptor protein serine/threonine kinase binding,none
BP,GO:0070098,chemokine-mediated signaling pathway,Immune Response
BP,GO:0071353,cellular response to interleukin-4,Immune Response
MF,GO:0016746,"transferase activity, transferring acyl groups",none
MF,GO:0019200,carbohydrate kinase activity,none
BP,GO:0051883,killing of cells in other organism involved in symbiotic interaction,none
BP,GO:1900101,regulation of endoplasmic reticulum unfolded protein response,Proteostasis
BP,GO:0007213,G protein-coupled acetylcholine receptor signaling pathway,Synapse
BP,GO:0009220,pyrimidine ribonucleotide biosynthetic process,Cell Cycle
CC,GO:0030914,STAGA complex,Epigenetic
BP,GO:0002230,positive regulation of defense response to virus by host,Immune Response
BP,GO:0035728,response to hepatocyte growth factor,none
BP,GO:0090344,negative regulation of cell aging,none
BP,GO:2000108,positive regulation of leukocyte apoptotic process,Immune Response
MF,GO:0035173,histone kinase activity,Epigenetic
MF,GO:0016303,1-phosphatidylinositol-3-kinase activity,none
CC,GO:0030496,midbody,none
BP,GO:0031274,positive regulation of pseudopodium assembly,none
BP,GO:1900117,regulation of execution phase of apoptosis,Apoptosis
BP,GO:0000963,mitochondrial RNA processing,Mitochondrial Metabolism
MF,GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,none
MF,GO:0019198,transmembrane receptor protein phosphatase activity,none
BP,GO:0035825,homologous recombination,none
CC,GO:0042555,MCM complex,none
BP,GO:0060307,regulation of ventricular cardiac muscle cell membrane repolarization,none
BP,GO:0070839,divalent metal ion export,Metal Binding and Homeostasis
BP,GO:0030238,male sex determination,none
BP,GO:1902548,negative regulation of cellular response to vascular endothelial growth factor stimulus,Vasculature
MF,GO:0031404,chloride ion binding,none
BP,GO:0097421,liver regeneration,none
BP,GO:1901070,guanosine-containing compound biosynthetic process,none
MF,GO:0042288,MHC class I protein binding,Immune Response
BP,GO:0021696,cerebellar cortex morphogenesis,none
BP,GO:0030252,growth hormone secretion,none
BP,GO:0055057,neuroblast division,none
BP,GO:0043518,"negative regulation of DNA damage response, signal transduction by p53 class mediator",DNA Repair
BP,GO:0019731,antibacterial humoral response,Immune Response
CC,GO:0005845,mRNA cap binding complex,none
CC,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,none
BP,GO:0010560,positive regulation of glycoprotein biosynthetic process,none
BP,GO:0001578,microtubule bundle formation,Structural Stabilization
BP,GO:0061323,cell proliferation involved in heart morphogenesis,none
BP,GO:0070306,lens fiber cell differentiation,none
BP,GO:2000136,regulation of cell proliferation involved in heart morphogenesis,none
BP,GO:0044848,biological phase,none
BP,GO:0071285,cellular response to lithium ion,none
BP,GO:0050686,negative regulation of mRNA processing,none
BP,GO:0090179,planar cell polarity pathway involved in neural tube closure,none
BP,GO:1902932,positive regulation of alcohol biosynthetic process,none
MF,GO:0015079,potassium ion transmembrane transporter activity,none
BP,GO:0019076,viral release from host cell,none
BP,GO:0035315,hair cell differentiation,none
BP,GO:0035461,vitamin transmembrane transport,none
BP,GO:0035890,exit from host,none
BP,GO:0035891,exit from host cell,none
BP,GO:0044342,type B pancreatic cell proliferation,none
BP,GO:0090161,Golgi ribbon formation,Proteostasis
BP,GO:0036158,outer dynein arm assembly,Structural Stabilization
BP,GO:0010569,regulation of double-strand break repair via homologous recombination,DNA Repair
CC,GO:0031902,late endosome membrane,Endolysosome
BP,GO:0048535,lymph node development,Immune Response
MF,GO:0016887,ATPase activity,none
MF,GO:0102567,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)",none
MF,GO:0102568,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)",none
BP,GO:0042089,cytokine biosynthetic process,Immune Response
BP,GO:0042107,cytokine metabolic process,Immune Response
BP,GO:0006505,GPI anchor metabolic process,Lipid Metabolism
BP,GO:0120009,intermembrane lipid transfer,Lipid Metabolism
BP,GO:0007601,visual perception,none
BP,GO:0010752,regulation of cGMP-mediated signaling,none
BP,GO:0030852,regulation of granulocyte differentiation,none
BP,GO:0030948,negative regulation of vascular endothelial growth factor receptor signaling pathway,Vasculature
BP,GO:0003157,endocardium development,none
BP,GO:0018200,peptidyl-glutamic acid modification,none
BP,GO:0001825,blastocyst formation,none
CC,GO:0031258,lamellipodium membrane,none
BP,GO:0031398,positive regulation of protein ubiquitination,none
BP,GO:0045992,negative regulation of embryonic development,none
BP,GO:1901998,toxin transport,none
BP,GO:2000648,positive regulation of stem cell proliferation,none
BP,GO:0002360,T cell lineage commitment,Immune Response
MF,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",none
CC,GO:0032797,SMN complex,none
BP,GO:0000305,response to oxygen radical,Oxidative Stress
BP,GO:0034116,positive regulation of heterotypic cell-cell adhesion,Structural Stabilization
BP,GO:0001975,response to amphetamine,none
BP,GO:0042219,cellular modified amino acid catabolic process,none
BP,GO:0044872,lipoprotein localization,Lipid Metabolism
BP,GO:0048243,norepinephrine secretion,Synapse
BP,GO:0062098,regulation of programmed necrotic cell death,Apoptosis
MF,GO:0034593,phosphatidylinositol bisphosphate phosphatase activity,none
BP,GO:0060544,regulation of necroptotic process,none
BP,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",RNA Spliceosome
BP,GO:0033630,positive regulation of cell adhesion mediated by integrin,Structural Stabilization
BP,GO:0006309,apoptotic DNA fragmentation,Apoptosis
BP,GO:0007052,mitotic spindle organization,Cell Cycle
BP,GO:0070914,UV-damage excision repair,DNA Repair
MF,GO:0004000,adenosine deaminase activity,none
BP,GO:0035025,positive regulation of Rho protein signal transduction,none
BP,GO:0051000,positive regulation of nitric-oxide synthase activity,none
BP,GO:0051973,positive regulation of telomerase activity,none
BP,GO:0072111,cell proliferation involved in kidney development,none
BP,GO:0000729,DNA double-strand break processing,DNA Repair
BP,GO:0043984,histone H4-K16 acetylation,Epigenetic
BP,GO:0046386,deoxyribose phosphate catabolic process,none
BP,GO:0006342,chromatin silencing,Epigenetic
BP,GO:0032148,activation of protein kinase B activity,none
BP,GO:0042753,positive regulation of circadian rhythm,none
BP,GO:0000303,response to superoxide,Oxidative Stress
BP,GO:0006568,tryptophan metabolic process,none
BP,GO:0042403,thyroid hormone metabolic process,none
BP,GO:0045879,negative regulation of smoothened signaling pathway,none
BP,GO:0060123,regulation of growth hormone secretion,none
MF,GO:0140030,modification-dependent protein binding,none
MF,GO:0061578,Lys63-specific deubiquitinase activity,Proteostasis
BP,GO:0031053,primary miRNA processing,Epigenetic
CC,GO:0070461,SAGA-type complex,Epigenetic
CC,GO:0055029,nuclear DNA-directed RNA polymerase complex,none
BP,GO:1901836,regulation of transcription of nucleolar large rRNA by RNA polymerase I,none
BP,GO:0043619,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,Oxidative Stress
CC,GO:0000151,ubiquitin ligase complex,Proteostasis
MF,GO:0004724,magnesium-dependent protein serine/threonine phosphatase activity,none
BP,GO:0009309,amine biosynthetic process,none
BP,GO:0035914,skeletal muscle cell differentiation,none
MF,GO:0070330,aromatase activity,none
BP,GO:1901524,regulation of mitophagy,none
BP,GO:1903019,negative regulation of glycoprotein metabolic process,none
BP,GO:0007077,mitotic nuclear envelope disassembly,Cell Cycle
BP,GO:0006901,vesicle coating,Endolysosome
BP,GO:0006506,GPI anchor biosynthetic process,Lipid Metabolism
BP,GO:0006646,phosphatidylethanolamine biosynthetic process,Lipid Metabolism
BP,GO:0001892,embryonic placenta development,none
BP,GO:0006607,NLS-bearing protein import into nucleus,none
BP,GO:0050779,RNA destabilization,none
BP,GO:1901031,regulation of response to reactive oxygen species,Oxidative Stress
BP,GO:0006506,GPI anchor biosynthetic process,Proteostasis
BP,GO:0070828,heterochromatin organization,Epigenetic
BP,GO:0016556,mRNA modification,none
BP,GO:0022602,ovulation cycle process,none
MF,GO:0030957,Tat protein binding,none
BP,GO:0043248,proteasome assembly,Proteostasis
MF,GO:0005217,intracellular ligand-gated ion channel activity,Synapse
BP,GO:0045910,negative regulation of DNA recombination,Cell Cycle
BP,GO:2000779,regulation of double-strand break repair,DNA Repair
BP,GO:0045059,positive thymic T cell selection,Immune Response
BP,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,none
BP,GO:1903894,regulation of IRE1-mediated unfolded protein response,Proteostasis
BP,GO:0007271,"synaptic transmission, cholinergic",Synapse
BP,GO:0033683,"nucleotide-excision repair, DNA incision",DNA Repair
CC,GO:0031314,extrinsic component of mitochondrial inner membrane,Mitochondrial Metabolism
MF,GO:0008174,mRNA methyltransferase activity,none
MF,GO:0008327,methyl-CpG binding,none
CC,GO:0036038,MKS complex,none
BP,GO:1903429,regulation of cell maturation,none
